prod_name,spec_list,review_score,review_count,lowest_price,prod_img
LG전자 울트라PC 15U50T-GA5HK 32GB램,노트북 / 39.6cm(15.6인치) / 1.7kg / 윈도우11홈 / [화면] 해상도 : 1920x1080(FHD) / [CPU] 인텔 / 코어i5-13세대 / i5-1334U (1.3GHz) / [그래픽] 내장그래픽 / UHD Graphics / [구성] 램 : 32GB / 램 교체 : 가능 / 용량 : 256GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 51Wh / 용도 : 사무/인강용,5.0,6,685230,https://img.danawa.com/prod_img/500000/140/975/img/72975140_1.jpg?shrink=130:130&_v=20250326151231
LG전자 2025 그램 프로16 16Z90TS-GU7BK,"AI노트북 / 40.6cm(16인치) / 1.239kg / 최대 25.5시간 / 윈도우11홈 / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 400nit / 주사율 : 144Hz / [CPU] 인텔 / 코어 울트라7(S2) / 258V (4.8GHz) / NPU : 47TOPS / [그래픽] 내장그래픽 / Arc 140V / 8core / [구성] 램 : 32GB / 램 교체 : 불가능 / 용량 : 1TB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 77Wh / 용도 : 사무/인강용 , 휴대용",4.9,224,2238140,https://img.danawa.com/prod_img/500000/624/006/img/74006624_1.jpg?shrink=130:130&_v=20250203084229
MSI 알파 17 C7VG-R9 QHD,"노트북 / 43.9cm(17.3인치) / 2.8kg / OS미포함(프리도스) / [화면] 해상도 : 2560x1440(QHD) / 밝기 : 300nit / 주사율 : 240Hz / [CPU] AMD / 라이젠9(Zen4) / 7945HX (2.5Hz) / [그래픽] 외장그래픽 / RTX4070 / TGP : 140W / [구성] 램 : 16GB / 램 교체 : 가능 / 용량 : 1TB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 99.9Wh / 용도 : 게임용 , 그래픽작업용",4.7,41,1899000,https://img.danawa.com/prod_img/500000/289/613/img/27613289_1.jpg?shrink=130:130&_v=20250423143237
삼성전자 갤럭시북5 프로 NT960XHA-KP72G,AI노트북 / 40.6cm(16인치) / 1.56kg / 최대 25시간 / 윈도우11홈 / [화면] 해상도 : 2880x1800(WQXGA+) / 밝기 : 400nit / 주사율 : 120Hz / [CPU] 인텔 / 코어 울트라7(S2) / 258V (4.8GHz) / NPU : 47TOPS / [그래픽] 내장그래픽 / Arc 140V / 8core / [구성] 램 : 32GB / 램 교체 : 불가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 76Wh / 용도 : 사무/인강용,4.8,6,2278990,https://img.danawa.com/prod_img/500000/705/763/img/73763705_1.jpg?shrink=130:130&_v=20250716155154
삼성전자 갤럭시북5 프로 NT960XHA-K52A,AI노트북 / 40.6cm(16인치) / 1.56kg / 최대 25시간 / 윈도우11홈 / [화면] 해상도 : 2880x1800(WQXGA+) / 밝기 : 400nit / 주사율 : 120Hz / [CPU] 인텔 / 코어 울트라5(S2) / 228V (4.5GHz) / NPU : 40TOPS / [그래픽] 내장그래픽 / Arc 130V / 7core / [구성] 램 : 32GB / 램 교체 : 불가능 / 용량 : 256GB / 저장 슬롯 : 2개 / 전원 : USB-PD / 배터리 : 76Wh / 용도 : 사무/인강용,4.9,468,2050000,https://img.danawa.com/prod_img/500000/981/691/img/73691981_1.jpg?shrink=130:130&_v=20250113092301
HP 오멘 16-ap0107AX,"AI노트북 / 40.6cm(16인치) / 2.45kg / OS미포함(프리도스) / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 500nit / 주사율 : 240Hz / [CPU] AMD / 라이젠AI 7 / 350 (5.0GHz) / NPU : 50TOPS / [그래픽] 외장그래픽 / RTX5060 / [구성] 램 : 32GB / 램 교체 : 가능 / 용량 : 512GB / 전원 : USB-PD(+DC) / 배터리 : 70Wh / 용도 : 게임용 , 그래픽작업용",0.0,0,1969000,https://img.danawa.com/new/noData/img/noImg_160.gif
HP 오멘 16-am0148TX,"노트북 / 40.6cm(16인치) / 2.35kg / OS미포함(프리도스) / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 500nit / 주사율 : 240Hz / [CPU] 인텔 / 코어i7-14세대 / i7-14650HX (5.2GHz) / [그래픽] 외장그래픽 / RTX5060 / TGP : 115W / [구성] 램 : 16GB / 램 교체 : 가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : USB-PD(+DC) / 배터리 : 83Wh / 용도 : 게임용 , 그래픽작업용",4.0,2,1848000,https://img.danawa.com/new/noData/img/noImg_160.gif
ASUS TUF Gaming A16 FA608PP-QT028 WIN11 64GB램,"노트북 / 40.6cm(16인치) / 2.2kg / 윈도우11(설치) / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 400nit / 주사율 : 165Hz / [CPU] AMD / 라이젠9(Zen4) / 8940HX (5.3GHz) / [그래픽] 외장그래픽 / RTX5070 / TGP : 115W / [구성] 램 : 64GB / 램 교체 : 가능 / 용량 : 512GB / 저장 슬롯 : 2개 / 전원 : USB-PD(+DC) / 배터리 : 90Wh / 용도 : 게임용 , 그래픽작업용",0.0,0,2241250,https://img.danawa.com/new/noData/img/noImg_160.gif
레노버 아이디어패드 Slim3 15ABR8 82XM00ELKR,노트북 / 39.62cm(15.6인치) / 1.7kg / 최대 12시간 / OS미포함(프리도스) / [화면] 해상도 : 1920x1080(FHD) / 밝기 : 300nit / [CPU] AMD / 라이젠5(Zen3) / 7430U (2.3Hz) / [그래픽] 내장그래픽 / Radeon Graphics / 7core / [구성] 램 : 16GB / 램 교체 : 불가능 / 용량 : 512GB / 저장 슬롯 : 1개 / 전원 : USB-PD(+DC) / 배터리 : 47Wh / 용도 : 사무/인강용,4.8,39,589000,https://img.danawa.com/new/noData/img/noImg_160.gif
레노버 아이디어패드 Slim3 15ARP10 83K7003AKR 16GB램,"노트북 / 38.35cm(15.1인치) / 1.49kg / 최대 17.5시간 / OS미포함(프리도스) / [화면] 해상도 : 2560x1600(WQXGA) / 밝기 : 500nit / 주사율 : 165Hz / [CPU] AMD / 라이젠5(Zen3+) / 7533HS (3.3Hz) / [그래픽] 내장그래픽 / Radeon 660M / 6core / [구성] 램 : 16GB / 램 교체 : 가능(1슬롯) / 용량 : 256GB / 저장 슬롯 : 2개 / 전원 : USB-PD(+DC) / 배터리 : 60Wh / 용도 : 사무/인강용 , 휴대용",0.0,0,713990,https://img.danawa.com/new/noData/img/noImg_160.gif
