"id","category","prod_name","spec_list","review_score","review_count","lowest_price","prod_img","created_at"
91,desktop,레노버 올인원PC A100 24 F0J6000JKR Win11Home,N100 (1.0GHz) / UHD 그래픽스 / 윈도우11 / 인텔 / N-시리즈 / 엘더레이크-N / DDR4 / 8GB / M.2 / 256GB / INTEL / 화면크기 : 61cm(24인치) / 1920x1080 / 광시야각 / 틸트(상하) / 스피커 내장형 / 1Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / HDMI / USB3.x 10Gbps / 웹캠 / 마이크 내장 / DC / 일체형 / 4.43kg / 용도 : 사무/인강용 / 구성변경상품,0.0,0,528000,https://img.danawa.com/prod_img/500000/701/036/img/81036701_1.jpg?shrink=130:130&_v=20250415153320,2025-09-15 08:35:38.788
92,desktop,몬스타 몬스타PC 영상편집2025,"265K / RTX 5060 Ti / (인텔) B860 / OS미포함 / 850W / 인텔 / 코어울트라 시리즈2 / 코어 울트라7 / 애로우레이크 / DDR5 / 64GB / M.2 / 1TB / NVIDIA / 그래픽 메모리 : 16GB / 2.5Gbps 유선 / 802.11ax(Wi-Fi 6E) 무선 / 블루투스 / HDMI / DP포트 / USB3.x 10Gbps / USB3.x 5Gbps / USB C타입 40Gbps / 파워서플라이 / 미들타워 / 어항형 / 수랭쿨러 / LED쿨러 / 용도 : 게임용",0.0,0,2450000,https://img.danawa.com/prod_img/500000/158/479/img/37479158_1.jpg?shrink=130:130&_v=20250509194341,2025-09-15 08:35:38.788
93,desktop,DELL 옵티플렉스 7020 SFF i3-12100,i3-12100 / UHD 그래픽스 730 / Ubuntu / 180W / 인텔 / 코어 12세대 / 코어i3 / 엘더레이크 / DDR5 / 8GB / M.2 / 512GB / INTEL / 1Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / HDMI / DP포트 / USB3.x 5Gbps / USB C타입 5Gbps / 파워서플라이 / 슬림 / 용도 : 사무/인강용,0.0,0,469000,https://img.danawa.com/prod_img/500000/898/558/img/79558898_1.jpg?shrink=130:130&_v=20250610100422,2025-09-15 08:35:38.788
94,desktop,HP S01-PF4001KL-Win11Pro,i3-14100 / UHD 그래픽스 730 / (인텔) H670 / 윈도우11 프로 / 180W / 인텔 / 코어 14세대 / 코어i3 / 랩터레이크-R / DDR4 / 8GB / M.2 / 256GB / INTEL / 1Gbps 유선 / 802.11ac(Wi-Fi 5) 무선 / 블루투스 / HDMI / D-SUB / USB3.x 5Gbps / 파워서플라이 / 슬림 / 3.02kg / 용도 : 사무/인강용 / 구성변경상품,5.0,3,559960,https://img.danawa.com/prod_img/500000/721/611/img/41611721_1.jpg?shrink=130:130&_v=20241227112636,2025-09-15 08:35:38.788
95,desktop,레노버 LOQ Tower 17IRB8 i5,i5-13400 / UHD 그래픽스 730 / (인텔) B760 / OS미포함 / 500W / 인텔 / 코어 13세대 / 코어i5 / 랩터레이크 / DDR4 / 8GB / M.2 / 256GB / INTEL / 1Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / HDMI / D-SUB / USB3.x 10Gbps / USB3.x 5Gbps / USB C타입 5Gbps / 파워서플라이 / 미들타워 / 8.4kg / 용도 : 사무/인강용,5.0,3,587010,https://img.danawa.com/prod_img/500000/100/573/img/19573100_1.jpg?shrink=130:130&_v=20230712153336,2025-09-15 08:35:38.788
96,desktop,APPLE 맥미니 M4 MU9D3KH/A,M4 10 core / Mac OS Sequoia / 애플(ARM) / M4시리즈 / M4 / 애플 뉴럴엔진 / 16GB / SSD / 256GB / APPLE / 스피커 내장형 / 1Gbps 유선 / 802.11ax(Wi-Fi 6E) 무선 / 블루투스 / HDMI / DP Alt Mode / USB3.x 10Gbps / USB C타입 40Gbps / USB C타입 10Gbps / 썬더볼트4 / 미니PC / 0.67kg / 용도 : 사무/인강용,4.9,25,823540,https://img.danawa.com/prod_img/500000/545/152/img/70152545_1.jpg?shrink=130:130&_v=20250730073105,2025-09-15 08:35:38.788
97,desktop,포유컴퓨터 퍼포먼스PC 37 R5 5600 RTX5060,"5600 / RTX 5060 / (AMD) A520 / OS미포함 / 600W / AMD / 라이젠 5000시리즈 / 라이젠5 / 버미어 / DDR4 / 16GB / M.2 / 500GB / NVIDIA / 1Gbps 유선 / HDMI / DP포트 / 파워서플라이 / 미들타워 / 어항형 / LED쿨러 / 용도 : 게임용",5.0,5,874820,https://img.danawa.com/prod_img/500000/784/779/img/20779784_1.jpg?shrink=130:130&_v=20250910143922,2025-09-15 08:35:38.788
98,desktop,LG전자 24VD70T-GX50K Win11Home,i5-1334U / Iris Xe 그래픽스 / 윈도우11 / 인텔 / 코어 13세대 / 코어i5 / 랩터레이크 / DDR5 / 8GB / M.2 / 256GB / 화면크기 : 60.4cm(24인치) / 1920x1080 / 눈부심방지 / 광시야각 / 틸트(상하) / 스피커 내장형 / 1Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / USB3.x 10Gbps / USB C타입 10Gbps / 웹캠 / 마이크 내장 / DC / 일체형 / 5.8kg / 용도 : 사무/인강용 / 구성변경상품,4.0,1,898990,https://img.danawa.com/prod_img/500000/301/156/img/76156301_1.jpg?shrink=130:130&_v=20250214125146,2025-09-15 08:35:38.788
99,desktop,레노버 LOQ Tower 17IRB-I514S2-WIN11,i5-14400 / UHD 그래픽스 730 / (인텔) B760 / 윈도우11 프로 / 500W / 인텔 / 코어 14세대 / 코어i5 / 랩터레이크-R / DDR4 / 8GB / M.2 / 256GB / INTEL / 1Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / HDMI / D-SUB / USB3.x 10Gbps / USB3.x 5Gbps / USB C타입 5Gbps / 파워서플라이 / 미들타워 / 8.4kg / 용도 : 사무/인강용 / 구성변경상품,0.0,0,777210,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
100,desktop,삼성전자 데스크탑 Tower DM500TGZ-AI5S1T2-Win11,i5-14400 / UHD 그래픽스 730 / (인텔) H670 / 윈도우11 프로 / 500W / 인텔 / 코어 14세대 / 코어i5 / 랩터레이크-R / DDR5 / 8GB / HDD:2TB / M.2 / 1TB / INTEL / 1Gbps 유선 / 802.11ax(Wi-Fi 6) 무선 / 블루투스 / HDMI / USB3.x 10Gbps / USB C타입 5Gbps / 파워서플라이 / 미들타워 / 용도 : 사무/인강용 / 구성변경상품,0.0,0,1035000,https://img.danawa.com/new/noData/img/noImg_160.gif,2025-09-15 08:35:38.788
